,Urban Population,Population Growth,Population,GDP in $,CO2 Emission,biomass,wind,solar,renewable,nuclear,hydro,coal,gaz,Oil
1982,1843755802.0,1.7992121410248498,4593454253.0,11507419044047.1,18562354.0,61.37055641610978,0.018499999999999996,0.0,61.38905641610978,916.6454616947393,1796.8831715390418,1909.8921029742385,1256.1164990724521,2797.7228274107943
1983,1892827915.0,1.7832632151828298,4675367633.0,11739581031767.402,18484356.91,68.01793273743819,0.03279494949494946,0.003,68.05372768693314,1029.3987127789499,1879.26897807464,1903.873374416398,1267.3242526506285,2762.004488275377
1984,1942866006.0,1.7459683688579,4756998073.0,12172632270220.0,19145865.375,76.00921830667598,0.04475555555555548,0.0063111111111111,76.06028497334265,1244.320289873687,1941.0591836147557,1987.0697613233453,1375.8985081517194,2816.1207133269154
1985,1994247166.0,1.74810024565674,4840155168.0,12786868776197.201,19719241.162,77.79223117997597,0.06422020202020197,0.011747474747474736,77.86819885674365,1488.9728816105298,1979.5897733001768,2077.908542502429,1413.4351913895994,2791.4601402644553
1986,2047492186.0,1.76949215525646,4925801334.0,15109518321326.598,20315356.016,85.57913281245379,0.1388313131313131,0.015183838383838372,85.73314796396896,1594.790420484214,2006.711403989199,2126.712074743974,1450.6170688617497,2929.340512621318
1987,2102280624.0,1.7819446430804804,5013576387.0,17186317201890.201,20817151.963,91.6428543446685,0.19537676767676762,0.010603030303030303,91.8488341426483,1734.7825570315827,2034.5146333470948,2167.574095217383,1523.085582831811,2936.104079465743
1988,2158076715.0,1.7695344431180797,5102293348.0,19226665300870.3,21565403.312999997,94.28072727351741,0.33157979797979803,0.010195959595959583,94.62250303109317,1891.3252592736865,2099.1108183396805,2220.5925112632913,1590.7771639618095,3061.595423857852
1989,2213986943.0,1.7378827117958198,5190965222.0,20068920934036.3,22029385.156,104.03431282361699,2.649776767676741,0.26222323232323225,106.94631282361698,1945.0802479263214,2086.541190025097,2260.08258648514,1645.5056646306957,3098.559090914253
1990,2271805636.0,1.7410029182430102,5281340078.0,22603206098495.3,22149402.399,116.54032959375112,3.6324705158989543,0.3882949494949495,120.56109505914503,2000.4747995578982,2161.0480835907406,2251.658416907108,1696.5124283644,3157.8705361968873
1991,2329303604.0,1.6637825949900997,5369210095.0,23942384829866.402,22403928.86900001,121.49724610035416,4.086706674707034,0.5052028729674543,126.08915564802864,2096.1917689894785,2213.1327567942953,2191.079558513393,1717.435741054618,3149.1417327400045
1992,2384524997.0,1.5679003710135098,5453393960.0,25425855198396.5,22183417.491,130.4426247527588,4.7332120191514795,0.46858510948822124,135.64442188139853,2112.10945383202,2211.5055930434196,2188.3427189383456,1721.8431503724898,3194.769523371669
1993,2441829440.0,1.5596666337306002,5538448726.0,25838198034038.598,22162174.56,134.8256748342745,5.697568819393899,0.5566975240299379,141.07994117769834,2184.84873352652,2344.2661506848026,2123.4851403675398,1741.1392412631362,3190.351667181468
1994,2499212205.0,1.51895772917553,5622575421.0,27753090818176.402,22551690.634,139.91448289476392,7.122929844242377,0.6000139253602809,147.6374266643666,2225.8758953483407,2359.6925188445516,2174.349672000727,1766.0662870185379,3234.693635294433
1995,2558434408.0,1.5110086684242199,5707533023.0,30865108095791.805,23037524.13,145.7193741468807,8.26192344363632,0.6408137794886037,154.62211137000563,2322.415627683887,2488.985020396689,2240.1814315706238,1795.2980960518603,3278.89612576322
1996,2616500742.0,1.45283779639726,5790454220.0,31549409160506.695,23571556.674,149.81292841389433,9.204600660595922,0.7052079715988194,159.7227370460891,2406.8236057699587,2523.825940212398,2276.349029498367,1882.5784537228212,3366.2948774513256
1997,2675193465.0,1.42678872608373,5873071768.0,31435985940809.5,23975007.347999997,161.06672525974932,12.017816469777737,0.756584791929711,173.84112652145677,2390.2967162013983,2569.6238899466,2309.1833529598375,1882.2692433498253,3441.3754097974083
1998,2734448158.0,1.3917552045824098,5954810550.0,31367309193548.098,24114192.0,168.57133920177074,15.921260267804914,0.8317889652847927,185.32438843486045,2431.385960441457,2590.5595494379845,2267.015987344116,1931.969841148952,3528.31725082008
1999,2793971265.0,1.3514046219320903,6035284135.0,32529370037527.902,24059187.0,177.19831640366343,21.216174006609346,0.9161968992285394,199.33068730950131,2524.3691956050297,2608.299500172241,2267.69619405936,1987.4786318810957,3448.304748681612
2000,2854279372.0,1.3226258485011597,6115108363.0,33581571601703.805,24689911.0,185.45238144909032,31.420936564133243,1.1254073967022529,217.99872540992584,2580.913074515191,2654.7035059578307,2300.8565227445865,2065.76514635979,3597.3919171242555
2001,2919083083.0,1.29763981747448,6194460444.0,33382422263799.0,25276631.0,191.22851458370016,38.39094694714436,1.4090736791505507,231.02853520999514,2653.772908872078,2586.4793686152902,2398.019808352939,2114.9161989887843,3597.512905102508
2002,2987617002.0,1.2763984484973898,6273526441.0,34669304532580.902,25646998.0,205.85318182419766,52.33175697155786,1.7753711305516702,259.9603099263071,2696.174442703869,2633.5897468544094,2427.3712546033294,2163.2616941852266,3554.7082450264643
2003,3057172140.0,1.2616709078121497,6352677699.0,38899897038562.5,27047792.0,217.37914908630964,62.91692708448412,2.269183154744631,282.5652593255385,2641.5795454610156,2628.619236796692,2605.194462158966,2240.732642166064,3713.090233358374
2004,3128054896.0,1.25454612647114,6432374971.0,43811772234694.6,28393581.0,234.57273941517954,85.11716233483959,2.9867992181602876,322.67670096817943,2757.125213013655,2805.32667205372,2830.8885918869314,2313.975981080949,3898.152021836367
2005,3200209755.0,1.2472515417976,6512602867.0,47459060744747.305,29490014.0,254.82359501873742,104.08586481040452,4.177705657396107,363.08716548653797,2769.050089687323,2915.8412864904058,3010.1004080109537,2368.914340756335,3931.403433986631
2006,3273026502.0,1.24405459160634,6593623202.0,51442676003488.11,30568112.0,271.87276047021066,132.85906792295887,5.732719865463706,410.4645482586334,2803.5814512971324,3026.5720967651055,3163.738343115575,2449.3959301846708,3965.2240410760955
2007,3346267002.0,1.23615216555409,6675130418.0,57968741828029.39,31180501.0,294.8394485490958,170.6825859480438,7.771912906194708,473.2939474033343,2746.4390508981232,3079.4350424798645,3301.8649403018794,2512.257367510712,3956.5565107555785
2008,3421841292.0,1.23977733493925,6757887172.0,63616066492489.305,32181592.0,315.0463315151609,220.57211934806432,12.622139558973458,548.2405904221987,2737.860822085954,3256.250266635252,3410.0025135043334,2605.122611705633,3998.6525124221703
2009,3497913692.0,1.2238204470573402,6840591577.0,60340071198873.61,31891899.0,339.41325901782903,275.94929312563795,20.965023475966,636.327575619433,2699.2452419992132,3250.2031941442565,3409.7867878885895,2526.7411444634654,3897.8168047597887
2010,3574434195.0,1.2039263428166598,6922947261.0,66036932045341.39,33472376.0,378.8514791811845,341.614478368056,33.68315725517761,754.1491148044182,2767.5078144624576,3432.948977446895,3601.379439431387,2709.370524965637,3976.885379058914
2011,3648339756.0,1.17094638950479,7004011262.0,73357420394392.0,34847501.0,397.9084392407922,436.78640879645087,65.03586216820084,899.7307102054441,2651.7716162632732,3499.1995951451204,3866.476392761463,2800.48702674208,4008.0353110561714
2012,3723531164.0,1.18478340333657,7086993625.0,75045654452275.2,35470891.0,430.8496573789749,523.8093982790634,100.76443187870163,1055.4234875367401,2472.448640286076,3666.772983279648,3909.1423527761285,2857.969234722257,4120.291053934169
2013,3799949355.0,1.18481902825192,7170961674.0,77189608277384.89,35837591.0,464.0602092701422,645.3021853099538,139.05857121455284,1248.4209657946478,2491.673600860905,3793.2290447071873,3978.0352908932286,2891.756610939624,4128.50081807146
2014,3877658217.0,1.18104392200382,7255653881.0,79296107902414.61,36138285.0,502.15891907264063,712.0316971670599,197.91050837805102,1412.1011246177513,2540.7525408796228,3883.143442873298,3965.958617122504,2950.1991752253825,4223.17708116886
2015,3956546394.0,1.17004356040616,7340548192.0,75003074210656.5,36584938.00052591,536.4662441309196,831.3845071630337,260.7392187735252,1628.589970067479,2575.5566035896063,3884.4173571045953,3860.8504602083317,3010.9100349626738,4354.823310023972
2016,4036538900.0,1.16551280316151,7426103221.0,76102831192800.11,37084649.817898475,556.6233559346937,956.8735422049128,328.3781144657456,1841.8750126053515,2615.2420389700783,4017.743773213729,3660.8031928223736,3045.305677583027,4367.980220784145
2017,4116669665.0,1.14309258131439,7510990456.0,80891341462319.11,37608336.03110439,584.9758269564686,1127.9895865594092,453.51765745583276,2166.483070971708,2638.982195327135,4065.443127496832,3754.9895200354067,3162.287106404813,4379.862349730781
2018,4196356648.0,1.1087738759336896,7594270356.0,85804390603622.0,38146777.84968363,625.805361810136,1269.9533747046175,584.6309178408148,2480.3896543555666,2701.4319987042218,4193.104151157986,3916.7821102490348,3325.761769727648,4474.326494201825
2019,4275960964.1542654,1.084923269337388,7677100382.219572,88516423117145.16,38685704.74317418,,,,,,,,,
2020,4355492732.949367,1.0628094346787507,7759682205.372862,91162021217186.2,39227195.32312238,,,,,,,,,
2021,4434821159.528859,1.040372908932249,7842013024.3375635,93823683940833.8,39769797.532328464,,,,,,,,,
2022,4513810999.217227,1.0195087184712242,7924154683.034464,95719444712992.61,40312732.26666852,,,,,,,,,
2023,4592487519.084991,1.0003171053425095,8006347920.598192,97556811582054.2,40856189.91447471,,,,,,,,,
2024,4670851322.901659,0.9808532200158809,8088684194.03198,99696120719144.19,41399753.48395954,,,,,,,,,
2025,4748889957.269357,0.9613601314968073,8171199180.948931,101740281873537.4,41943403.48415458,,,,,,,,,
2026,4826583814.151878,0.9419799810439284,8253911587.226069,103730818720403.9,42487109.99150334,,,,,,,,,
2027,4903940132.735335,0.9225337867942581,8336834547.914743,105854829736072.95,43030826.35379568,,,,,,,,,
2028,4980967380.394613,0.9029352992745278,8419946846.532307,107983133256367.48,43574558.46761527,,,,,,,,,
2029,5057674864.746176,0.883319807398446,8503211663.251885,110056908650128.97,44118295.78546835,,,,,,,,,
2030,5134070535.719042,0.8636914869448007,8586587481.689595,112158628739106.7,44662035.402766995,,,,,,,,,
2031,5210166801.099893,0.8440409419898982,8670033538.531342,114274644498595.72,45205777.27441865,,,,,,,,,
2032,5285976888.732365,0.8243840673252361,8753510426.081697,116365753517502.47,45749519.63068305,,,,,,,,,
2033,5361514529.576258,0.8047351531881527,8836984716.444754,118457910902617.48,46293262.469250254,,,,,,,,,
2034,5436793004.0015745,0.7850875943018226,8920431252.581161,120560986688793.44,46837005.55551298,,,,,,,,,
2035,5511825984.463539,0.7654408832524648,9003833614.945482,122657605018241.42,47380748.71290884,,,,,,,,,
2036,5586626947.150337,0.7457962505033976,9087183335.39362,124751259027163.25,47924491.949986584,,,,,,,,,
2037,5661209081.954667,0.7261527892884558,9170479018.971933,126849859120092.27,48468235.21135076,,,,,,,,,
2038,5735585030.444884,0.7065089888645016,9253724895.427132,128947918846863.58,49011978.48721044,,,,,,,,,
2039,5809766989.971236,0.6868650090762457,9336929098.788107,131043745054460.47,49555721.77351878,,,,,,,,,
2040,5883766613.189092,0.6672208005691707,9420101945.929586,133140991578222.16,50099465.062625386,,,,,,,,,
2041,5957594998.168531,0.6475762025707882,9503254457.457243,135238802535516.38,50643208.354393125,,,,,,,,,
2042,6031262640.824645,0.6279312126919019,9586397137.060083,137335595207118.03,51186951.64731655,,,,,,,,,
2043,6104779463.128622,0.6082859535102784,9669539070.382694,139432554078871.39,51730694.940707445,,,,,,,,,
2044,6178154810.665122,0.588640439603902,9752687363.72253,141529969513071.72,52274438.23449895,,,,,,,,,
2045,6251397470.740435,0.568994691626153,9835846906.550161,143627074491283.9,52818181.5284165,,,,,,,,,
2046,6324515686.815382,0.5493487399328518,9919020398.691772,145724076060367.2,53361924.82242146,,,,,,,,,
2047,6397517182.94783,0.5297026036616039,10002208580.651402,147821290879977.06,53905668.116476916,,,,,,,,,
2048,6470409186.831106,0.5100562843153998,10085410600.450226,149918461197318.9,54449411.41054907,,,,,,,,,
2049,6543198454.376855,0.49040979506733295,10168624452.025236,152015538510529.97,54993154.704636864,,,,,,,,,
